id,created_at,text
871601530054606848,2017-06-05 05:36:12,b'RT @jccruzchellew: Estas son las barbaridades q dijo #Ossandon de mi y jam\xc3\xa1s me ha pedido perd\xc3\xb3n. https://t.co/90vupRF1Ja Es un tipo cruel.\xe2\x80\xa6'
871600327094566914,2017-06-05 05:31:26,b'RT @RANDCorporation: Strengthening factors that cause people to reject political violence is the best way to undermine violent extremism. h\xe2\x80\xa6'
871595319909330945,2017-06-05 05:11:32,"b'X q\'quiero usarte (si no te has dado cta) y mostrar a otros c\xc3\xb3mo ""periodistas.. d\'izq allendista"" creen q\'todos deb\xe2\x80\xa6 https://t.co/k97uI0pbwd'"
871594141398048768,2017-06-05 05:06:51,"b""Y \xc2\xbfen qu\xc3\xa9 te molesta a ti lo que yo haga?... El d\xc3\xada q'yo le haga caso a tipos como t\xc3\xba terminar\xc3\xa9 igual q't\xc3\xba.. preocu\xe2\x80\xa6 https://t.co/TVFy1967zO"""
871592782707687424,2017-06-05 05:01:27,"b'Nuevamente ""el periodista... d\'izquierda allendista"".... Cdo quieras sacarte las anteojeras y te interese la verdad\xe2\x80\xa6 https://t.co/3wa5OOMj3k'"
871591496490864641,2017-06-05 04:56:20,"b'Para un tipo que se presenta en su perfil como ""periodista.... de izquierda allendista""... supongo q\'viene de buena\xe2\x80\xa6 https://t.co/ZoqAM2QWZb'"
871585655977123841,2017-06-05 04:33:08,"b""No s\xc3\xa9 xq'alguien se tiene q'desquitar conmigo xq'otro lo hace mal en 1programa al q'no me han invitado. https://t.co/9MgbQl0VAv"""
871585313793208320,2017-06-05 04:31:46,"b'El Cote Ossand\xc3\xb3n se manej\xc3\xb3 mal en V\xc3\xa9rtigo y Tolerancia 0 ppal% xq\'cree q\'basta venderse como ""1buen tipo con calle"" y eso no basta'"
871583643243880449,2017-06-05 04:25:08,"b""El d\xc3\xada q'inviten, conversemos... Lo hicieron en abril del 2013 despues d'tener a otros candidatos siete veces en el\xe2\x80\xa6 https://t.co/3ISdan2xgV"""
871578027246931970,2017-06-05 04:02:49,"b'RT @gransopi: Ossand\xc3\xb3n: ""Yo no he votado por el Acuerdo Par\xc3\xads"" \nAqu\xc3\xad lista de votantes.... \n#Tolerancia0 https://t.co/nkpXdcaZw4'"
871577581186953216,2017-06-05 04:01:03,"b""Ya pasamos x Bachelet para q'alguien diga eso... https://t.co/VpZx3DVBcn"""
